accession	project	bases	gc	ags	country	genus	copy	arg_copy	cpg	group
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Acetatifactor	23.375	45.983	1.967187165775401	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Adlercreutzia	6.5	12.741	1.9601538461538461	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Agathobacter	97.5	304.44399999999996	3.1225025641025637	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Agathobaculum	14.125	243.149	17.214088495575222	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Akkermansia	15.0	25.131999999999998	1.6754666666666664	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Alistipes	74.125	90.978	1.2273591905564922	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Alitiscatomonas	6.875	74.35400000000001	10.815127272727274	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Anaerobutyricum	18.25	16.243000000000002	0.8900273972602741	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Anaerostipes	24.25	29.072000000000003	1.1988453608247425	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Anaerotardibacter	5.5	5.7860000000000005	1.052	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Anaerotignum	11.0	10.509	0.9553636363636364	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Angelakisella	11.0	31.063	2.823909090909091	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Anthropogastromicrobium	11.125	30.545	2.7456179775280902	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Bacteroides	64.375	1248.67	19.396815533980583	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Bariatricus	8.125	140.928	17.344984615384615	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Barnesiella	13.5	10.535	0.7803703703703704	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Bianquea	0.375	0.993	2.648	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Bifidobacterium	51.875	146.64100000000002	2.826814457831326	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Bilophila	5.75	21.489	3.737217391304348	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Blautia	129.875	585.2429999999999	4.506202117420596	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Brotaphodocola	7.125	11.09	1.5564912280701755	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Butyribacter	9.0	14.299	1.5887777777777776	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Butyricicoccus	0.125	6.194	49.552	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Butyricimonas	1.75	224.84300000000002	128.4817142857143	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	CAG-170	13.75	0.977	0.07105454545454545	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Citrobacter	3.375	102.996	30.517333333333333	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Clostridium	1.0	50.5	50.5	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Collinsella	21.75	4.603	0.21163218390804597	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Coprobacter	1.625	2.0	1.2307692307692308	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Coprococcus	61.375	171.827	2.7996252545824847	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Dorea	30.375	214.281	7.054518518518519	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Duodenibacillus	39.625	45.319	1.1436971608832809	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Dysosmobacter	19.125	43.891	2.294954248366013	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Eggerthella	1.0	11.112	11.112	commensal
SRR16328990	PRJNA763692	8949.097743	2586.875	3.4594241093984057	CN	Enterobacter	0.625	14.519	23.2304	commensal
