species	type	subtype	carrier	cnt
Cereibacter sphaeroides	bacitracin	bacA	chromosome	1.0
Cereibacter sphaeroides	defensin	mprF	chromosome	1.0
Cereibacter sphaeroides	phenicol	catB	chromosome	1.0
Clostridium beijerinckii	bacitracin	bacA	chromosome	1.0
Clostridium beijerinckii	biocide	sugE	chromosome	1.0
Clostridium beijerinckii	defensin	dltA	chromosome	1.0
Clostridium beijerinckii	defensin	dltB	chromosome	1.0
Clostridium beijerinckii	defensin	dltC	chromosome	1.0
Clostridium beijerinckii	defensin	dltD	chromosome	1.0
Clostridium beijerinckii	macrolide-lincosamide-streptogramin	lsa*	chromosome	1.0
Clostridium beijerinckii	macrolide-lincosamide-streptogramin	vat*	chromosome	1.0
Clostridium beijerinckii	phenicol	catA	chromosome	1.0
Cutibacterium acnes	bacitracin	bacA	chromosome	1.0
Cutibacterium acnes	defensin	lysX	chromosome	1.0
Deinococcus radiodurans	aminoglycoside	aph(3')*	chromosome	1.0
Deinococcus radiodurans	bacitracin	bacA	chromosome	1.0
Deinococcus radiodurans	tunicamycin	tmrD	chromosome	1.0
Enterococcus faecalis	bacitracin	bacA	chromosome	1.0
Enterococcus faecalis	defensin	dltA	chromosome	1.0
Enterococcus faecalis	defensin	dltB	chromosome	1.0
Enterococcus faecalis	defensin	dltC	chromosome	1.0
Enterococcus faecalis	defensin	dltD	chromosome	1.0
Enterococcus faecalis	defensin	mprF	chromosome	2.0
Enterococcus faecalis	macrolide-lincosamide-streptogramin	lsa(A)	chromosome	1.0
Enterococcus faecalis	multidrug	efrA	chromosome	1.0
Enterococcus faecalis	multidrug	efrB	chromosome	1.0
Enterococcus faecalis	multidrug	efrC	chromosome	1.0
Enterococcus faecalis	multidrug	efrD	chromosome	1.0
Enterococcus faecalis	multidrug	efrE	chromosome	1.0
Enterococcus faecalis	multidrug	efrF	chromosome	1.0
Enterococcus faecalis	multidrug	emeA	chromosome	1.0
Escherichia coli	bacitracin	bacA	chromosome	2.0
Escherichia coli	bacteriocin	cbrA	chromosome	1.0
Escherichia coli	bacteriocin	yojI	chromosome	1.0
Escherichia coli	beta-lactam	blaEC	chromosome	1.0
Escherichia coli	biocide	dinF	chromosome	1.0
Escherichia coli	biocide	sugE	chromosome	1.0
Escherichia coli	colistin	arnA	chromosome	1.0
Escherichia coli	colistin	arnB	chromosome	1.0
Escherichia coli	colistin	arnC	chromosome	1.0
Escherichia coli	colistin	arnD	chromosome	1.0
Escherichia coli	colistin	arnE	chromosome	1.0
Escherichia coli	colistin	arnF	chromosome	1.0
Escherichia coli	colistin	arnT	chromosome	1.0
Escherichia coli	colistin	eptA	chromosome	1.0
Escherichia coli	colistin	eptB	chromosome	1.0
Escherichia coli	colistin	ugd	chromosome	1.0
Escherichia coli	fosmidomycin	fsr	chromosome	1.0
Escherichia coli	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Escherichia coli	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Escherichia coli	multidrug	acrA	chromosome	1.0
Escherichia coli	multidrug	acrB	chromosome	1.0
Escherichia coli	multidrug	acrD	chromosome	1.0
Escherichia coli	multidrug	acrE	chromosome	1.0
Escherichia coli	multidrug	acrF	chromosome	1.0
Escherichia coli	multidrug	bcr	chromosome	1.0
Escherichia coli	multidrug	emrA	chromosome	1.0
Escherichia coli	multidrug	emrB	chromosome	1.0
Escherichia coli	multidrug	emrD	chromosome	1.0
Escherichia coli	multidrug	emrE	chromosome	1.0
Escherichia coli	multidrug	emrK	chromosome	1.0
Escherichia coli	multidrug	emrY	chromosome	1.0
Escherichia coli	multidrug	mdfA	chromosome	1.0
Escherichia coli	multidrug	mdtA	chromosome	1.0
Escherichia coli	multidrug	mdtB	chromosome	1.0
Escherichia coli	multidrug	mdtC	chromosome	1.0
Escherichia coli	multidrug	mdtE	chromosome	1.0
Escherichia coli	multidrug	mdtF	chromosome	1.0
Escherichia coli	multidrug	mdtG	chromosome	1.0
Escherichia coli	multidrug	mdtH	chromosome	1.0
Escherichia coli	multidrug	mdtI	chromosome	1.0
Escherichia coli	multidrug	mdtJ	chromosome	1.0
Escherichia coli	multidrug	mdtK	chromosome	1.0
Escherichia coli	multidrug	mdtL	chromosome	1.0
Escherichia coli	multidrug	mdtM	chromosome	1.0
Escherichia coli	multidrug	mdtO	chromosome	1.0
Escherichia coli	multidrug	mdtP	chromosome	1.0
Escherichia coli	multidrug	mdtQ	chromosome	1.0
Escherichia coli	multidrug	smdA	chromosome	1.0
Escherichia coli	multidrug	tolC	chromosome	1.0
Helicobacter pylori	colistin	lpxE	chromosome	1.0
Helicobacter pylori	colistin	lpxF	chromosome	1.0
Helicobacter pylori	multidrug	hefA	chromosome	1.0
Helicobacter pylori	multidrug	hefB	chromosome	1.0
Helicobacter pylori	multidrug	hefC	chromosome	1.0
Lactobacillus gasseri	defensin	dltA	chromosome	1.0
Lactobacillus gasseri	defensin	dltB	chromosome	1.0
Lactobacillus gasseri	defensin	dltC	chromosome	1.0
Lactobacillus gasseri	defensin	dltD	chromosome	1.0
Neisseria meningitidis	bacitracin	bacA	chromosome	1.0
Neisseria meningitidis	fatty acid	farA	chromosome	1.0
Neisseria meningitidis	fatty acid	farB	chromosome	1.0
Neisseria meningitidis	macrolide-lincosamide-streptogramin	macA	chromosome	1.0
Neisseria meningitidis	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Neisseria meningitidis	multidrug	mtrC	chromosome	1.0
Neisseria meningitidis	multidrug	mtrD	chromosome	1.0
Neisseria meningitidis	multidrug	mtrE	chromosome	1.0
Neisseria meningitidis	multidrug	norM	chromosome	1.0
Neisseria meningitidis	sulfonamide	mtrF	chromosome	1.0
Phocaeicola vulgatus	beta-lactam	bla*	chromosome	1.0
Porphyromonas gingivalis	bacitracin	bacA	chromosome	1.0
Pseudomonas aeruginosa	aminoglycoside	aph(3')-II	chromosome	1.0
Pseudomonas aeruginosa	bacitracin	bacA	chromosome	1.0
Pseudomonas aeruginosa	beta-lactam	bla*	chromosome	1.0
Pseudomonas aeruginosa	beta-lactam	blaPDC	chromosome	1.0
Pseudomonas aeruginosa	biocide	opmH	chromosome	1.0
Pseudomonas aeruginosa	biocide	sugE	chromosome	2.0
Pseudomonas aeruginosa	biocide	triA	chromosome	1.0
Pseudomonas aeruginosa	biocide	triB	chromosome	1.0
Pseudomonas aeruginosa	biocide	triC	chromosome	1.0
Pseudomonas aeruginosa	colistin	cprA	chromosome	1.0
Pseudomonas aeruginosa	colistin	ugd	chromosome	1.0
Pseudomonas aeruginosa	defensin	mprF	chromosome	1.0
Pseudomonas aeruginosa	macrolide-lincosamide-streptogramin	macB	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mdtI	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mdtJ	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexA	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexB	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexC	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexD	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexE	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexF	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexH	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexI	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexJ	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexK	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexM	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexN	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexQ	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexV	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexW	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexX	chromosome	1.0
Pseudomonas aeruginosa	multidrug	mexY	chromosome	1.0
Pseudomonas aeruginosa	multidrug	muxA	chromosome	1.0
Pseudomonas aeruginosa	multidrug	muxB	chromosome	1.0
Pseudomonas aeruginosa	multidrug	muxC	chromosome	1.0
Pseudomonas aeruginosa	multidrug	opmB	chromosome	1.0
Pseudomonas aeruginosa	multidrug	oprA	chromosome	1.0
Pseudomonas aeruginosa	multidrug	oprJ	chromosome	1.0
Pseudomonas aeruginosa	multidrug	oprM	chromosome	1.0
Pseudomonas aeruginosa	multidrug	oprN	chromosome	1.0
Pseudomonas aeruginosa	multidrug	pmpM	chromosome	1.0
Pseudomonas aeruginosa	phenicol	catA	chromosome	1.0
Staphylococcus aureus	bacitracin	bacA	chromosome	1.0
Staphylococcus aureus	bacteriocin	vraD	chromosome	1.0
Staphylococcus aureus	bacteriocin	vraE	chromosome	1.0
Staphylococcus aureus	beta-lactam	mecA	chromosome	1.0
Staphylococcus aureus	biocide	sepA	chromosome	1.0
Staphylococcus aureus	defensin	dltA	chromosome	1.0
Staphylococcus aureus	defensin	dltB	chromosome	1.0
Staphylococcus aureus	defensin	dltC	chromosome	1.0
Staphylococcus aureus	defensin	dltD	chromosome	1.0
Staphylococcus aureus	defensin	mprF	chromosome	1.0
Staphylococcus aureus	defensin	pmtA	chromosome	1.0
Staphylococcus aureus	defensin	pmtB	chromosome	1.0
Staphylococcus aureus	defensin	pmtC	chromosome	1.0
Staphylococcus aureus	defensin	pmtD	chromosome	1.0
Staphylococcus aureus	fatty acid	farE	chromosome	1.0
Staphylococcus aureus	fosfomycin	fosB	chromosome	1.0
Staphylococcus aureus	macrolide-lincosamide-streptogramin	erm(C)	plasmid	1.0
Staphylococcus aureus	multidrug	abcA	chromosome	1.0
Staphylococcus aureus	multidrug	lmrS	chromosome	1.0
Staphylococcus aureus	multidrug	mdeA	chromosome	1.0
Staphylococcus aureus	multidrug	mepA	chromosome	1.0
Staphylococcus aureus	multidrug	norA	chromosome	1.0
Staphylococcus aureus	multidrug	norB	chromosome	1.0
Staphylococcus aureus	multidrug	norC	chromosome	1.0
Staphylococcus aureus	multidrug	sdrM	chromosome	1.0
Staphylococcus aureus	mupirocin	mupA	plasmid	1.0
Staphylococcus aureus	tetracycline	tet(38)	chromosome	1.0
Staphylococcus aureus	tetracycline	tet(K)	plasmid	1.0
Staphylococcus epidermidis	bacitracin	bacA	chromosome	1.0
Staphylococcus epidermidis	beta-lactam	blaZ	chromosome	1.0
Staphylococcus epidermidis	beta-lactam	blaZ	plasmid	1.0
Staphylococcus epidermidis	defensin	dltA	chromosome	1.0
Staphylococcus epidermidis	defensin	dltB	chromosome	1.0
Staphylococcus epidermidis	defensin	dltC	chromosome	1.0
Staphylococcus epidermidis	defensin	dltD	chromosome	1.0
Staphylococcus epidermidis	defensin	mprF	chromosome	1.0
Staphylococcus epidermidis	defensin	pmtA	chromosome	1.0
Staphylococcus epidermidis	defensin	pmtB	chromosome	1.0
Staphylococcus epidermidis	defensin	pmtC	chromosome	1.0
Staphylococcus epidermidis	defensin	pmtD	chromosome	1.0
Staphylococcus epidermidis	fosfomycin	fosB	chromosome	1.0
Staphylococcus epidermidis	multidrug	norA	chromosome	1.0
Staphylococcus epidermidis	multidrug	sdrM	chromosome	1.0
Staphylococcus epidermidis	tetracycline	tet(K)	plasmid	1.0
Streptococcus agalactiae	bacitracin	bacA	chromosome	1.0
Streptococcus agalactiae	bacteriocin	nsr	chromosome	1.0
Streptococcus agalactiae	defensin	dltA	chromosome	1.0
Streptococcus agalactiae	defensin	dltB	chromosome	1.0
Streptococcus agalactiae	defensin	dltC	chromosome	1.0
Streptococcus agalactiae	defensin	dltD	chromosome	1.0
Streptococcus agalactiae	defensin	mprF	chromosome	1.0
Streptococcus agalactiae	tetracycline	tet(M)	chromosome	1.0
Streptococcus mutans	bacitracin	bacA	chromosome	1.0
Streptococcus mutans	defensin	dltA	chromosome	1.0
Streptococcus mutans	defensin	dltB	chromosome	1.0
Streptococcus mutans	defensin	dltC	chromosome	1.0
Streptococcus mutans	defensin	dltD	chromosome	1.0
Streptococcus mutans	multidrug	mdeA	chromosome	1.0
