species	type	cnt	genome	est
Acinetobacter baumannii	aminoglycoside	1.0	12.625	0.828
Acinetobacter baumannii	bacitracin	1.0	12.625	0.826
Acinetobacter baumannii	beta-lactam	2.0	12.625	2.7039999999999997
Acinetobacter baumannii	biocide	1.0	12.625	1.13
Acinetobacter baumannii	fosfomycin	1.0	12.625	0.972
Acinetobacter baumannii	macrolide-lincosamide-streptogramin	2.0	12.625	2.126
Acinetobacter baumannii	multidrug	14.0	12.625	16.958
Acinetobacter baumannii	phenicol	2.0	12.625	1.376
Acinetobacter baumannii	sulfonamide	1.0	12.625	0.236
Bacillus pacificus	bacitracin	1.0	108.5	0.742
Bacillus pacificus	beta-lactam	2.0	108.5	1.568
Bacillus pacificus	defensin	6.0	108.5	4.998
Bacillus pacificus	fosfomycin	1.0	108.5	0.714
Bacillus pacificus	macrolide-lincosamide-streptogramin	1.0	108.5	0.756
Bacillus pacificus	phenicol	1.0	108.5	0.851
Bacillus pacificus	streptothricin	1.0	108.5	0.867
Bacillus pacificus	tetracycline	1.0	108.5	0.752
Bifidobacterium adolescentis	bacitracin	1.0	0.0	0.0
Cereibacter sphaeroides	bacitracin	1.0	1980.625	0.783
Cereibacter sphaeroides	defensin	1.0	1980.625	0.845
Cereibacter sphaeroides	phenicol	1.0	1980.625	0.852
Clostridium beijerinckii	bacitracin	1.0	31.5	0.617
Clostridium beijerinckii	biocide	1.0	31.5	0.746
Clostridium beijerinckii	defensin	4.0	31.5	2.582
Clostridium beijerinckii	macrolide-lincosamide-streptogramin	2.0	31.5	1.548
Clostridium beijerinckii	phenicol	1.0	31.5	0.465
Cutibacterium acnes	bacitracin	1.0	14.625	1.179
Cutibacterium acnes	defensin	1.0	14.625	0.809
Deinococcus radiodurans	aminoglycoside	1.0	0.0	0.0
Deinococcus radiodurans	bacitracin	1.0	0.0	0.0
Deinococcus radiodurans	tunicamycin	1.0	0.0	0.0
Enterococcus faecalis	bacitracin	1.0	0.0	0.0
Enterococcus faecalis	defensin	6.0	0.375	2.653
Enterococcus faecalis	macrolide-lincosamide-streptogramin	1.0	0.375	2.667
Enterococcus faecalis	multidrug	7.0	0.375	4.861
Escherichia coli	bacitracin	2.0	1169.0	1.899
Escherichia coli	bacteriocin	2.0	1169.0	2.0620000000000003
Escherichia coli	beta-lactam	1.0	1169.0	1.116
Escherichia coli	biocide	2.0	1169.0	1.9260000000000002
Escherichia coli	colistin	10.0	1169.0	9.305
Escherichia coli	fosmidomycin	1.0	1169.0	0.869
Escherichia coli	macrolide-lincosamide-streptogramin	2.0	1169.0	1.927
Escherichia coli	multidrug	30.0	1169.0	31.036
Helicobacter pylori	colistin	2.0	8.125	2.078
Helicobacter pylori	multidrug	3.0	8.125	2.651
Lactobacillus gasseri	defensin	4.0	5.875	8.898
Neisseria meningitidis	bacitracin	1.0	13.625	0.784
Neisseria meningitidis	fatty acid	2.0	13.625	1.721
Neisseria meningitidis	macrolide-lincosamide-streptogramin	2.0	13.625	1.924
Neisseria meningitidis	multidrug	4.0	13.625	4.4879999999999995
Neisseria meningitidis	sulfonamide	1.0	13.625	1.052
Phocaeicola vulgatus	beta-lactam	1.0	0.0	0.0
Porphyromonas gingivalis	bacitracin	1.0	1022.75	0.817
Pseudomonas paraeruginosa	aminoglycoside	1.0	159.375	0.918
Pseudomonas paraeruginosa	bacitracin	1.0	159.375	1.075
Pseudomonas paraeruginosa	beta-lactam	2.0	159.375	2.213
Pseudomonas paraeruginosa	biocide	6.0	159.375	5.48
Pseudomonas paraeruginosa	colistin	2.0	159.375	1.811
Pseudomonas paraeruginosa	defensin	1.0	159.375	0.913
Pseudomonas paraeruginosa	macrolide-lincosamide-streptogramin	1.0	159.375	1.407
Pseudomonas paraeruginosa	multidrug	28.0	159.375	27.48
Pseudomonas paraeruginosa	phenicol	1.0	159.375	0.968
Staphylococcus aureus	bacitracin	1.0	32.375	1.064
Staphylococcus aureus	bacteriocin	2.0	32.375	2.294
Staphylococcus aureus	beta-lactam	1.0	32.375	1.455
Staphylococcus aureus	biocide	1.0	32.375	0.903
Staphylococcus aureus	defensin	9.0	32.375	9.438
Staphylococcus aureus	fatty acid	1.0	32.375	1.19
Staphylococcus aureus	fosfomycin	1.0	32.375	0.815
Staphylococcus aureus	macrolide-lincosamide-streptogramin	1.0	32.375	2.734
Staphylococcus aureus	multidrug	8.0	32.375	7.294
Staphylococcus aureus	mupirocin	1.0	32.375	0.7
Staphylococcus aureus	tetracycline	2.0	32.375	0.864
Staphylococcus epidermidis	bacitracin	1.0	734.75	0.895
Staphylococcus epidermidis	beta-lactam	2.0	734.75	3.447
Staphylococcus epidermidis	defensin	9.0	734.75	8.334999999999999
Staphylococcus epidermidis	fosfomycin	1.0	734.75	1.069
Staphylococcus epidermidis	multidrug	2.0	734.75	1.52
Staphylococcus epidermidis	tetracycline	1.0	734.75	1.961
Streptococcus agalactiae	bacitracin	1.0	67.0	1.115
Streptococcus agalactiae	bacteriocin	1.0	67.0	0.674
Streptococcus agalactiae	defensin	5.0	67.0	4.685
Streptococcus agalactiae	tetracycline	1.0	67.0	0.702
Streptococcus mutans	bacitracin	1.0	1022.625	1.092
Streptococcus mutans	defensin	4.0	1022.625	3.246
Streptococcus mutans	multidrug	1.0	1022.625	1.119
Escherichia coli	tetracycline	0.0	1169.0	0.0
Staphylococcus epidermidis	mupirocin	0.0	734.75	0.001
